query_id,question,category,topic,action,target_article,related_articles,gap_description,confidence,score
69c2b12687df049fd2552f00_4376,We wish to cancel the AttendanceBot subscription,BILLING,Cancel AttendanceBot subscription,doc_update,How to cancel AttendanceBot subscription,How to uninstall AttendanceBot from Slack; How do I uninstall AttendanceBot from Google Chat ?,The retrieved articles do not contain specific instructions for canceling the subscription.,high,2.4
69c17235d2b3cf26b8a0df8f_8452,"Hi, I have a question about slack teams. ",GENERAL,Slack teams functionality,doc_update,How to use Slack onboarding functionality,How to use Slack onboarding functionality; How leave approval works in Slack; What are the different roles?,"The articles do not specifically address questions about Slack teams, leading to a lack of actionable information.",high,2.8
69c17235d2b3cf26b8a0df8f_8848,"Regarding Slack Teams, do the users need to be all under the same email domain? Or can they use their personal emails to be included in the employee goup?",SETUP,Email domain requirements for Slack,doc_update,How to use Slack onboarding functionality,What are the different roles?; How to use Slack onboarding functionality; How do I invite new users on my team to start using AttendanceBot?,The articles do not provide specific information about whether users need to be under the same email domain or can use personal emails.,high,3.4
69c161c3e38d70dd8d1af329_1569,delete account],GENERAL,Account deletion process,doc_update,How to deactivate a user in AttendanceBot,How to deactivate a user in AttendanceBot,The articles mention user deactivation but do not provide specific instructions for account deletion.,high,3.6
69c152fafdcff79626fec9e7_5897,Cancel my subscription,BILLING,Cancel subscription process,doc_update,How to cancel / retract / rescind / delete a leave request,How to cancel / retract / rescind / delete a leave request,The retrieved articles mention cancellation but do not provide specific instructions for canceling a subscription.,high,3.6
69be838ee183cd31d0453bba_1831,how do i log my hours?,TIMESHEET,Logging hours in AttendanceBot,doc_update,How to log hours in AttendanceBot,How to send hours to Gusto for payroll; How do I get the summary or report of my time in office?,Lacks details on using the menu interface for logging hours.,high,4.2
69bda157e183cd31d041faf1_2770,Hello! Where can we find the Attendancebot Team ID?,GENERAL,Finding AttendanceBot Team ID,doc_update,How can I get help from AttendanceBot support?,How can I get help from AttendanceBot support?; How do I install AttendanceBot in Slack?; How do I learn more about the product?,The articles do not provide specific instructions on locating the AttendanceBot Team ID.,high,3.8
69bd41c0347a013eb29ebfd4_4432,how do I delete my account?,GENERAL,Account deletion process,doc_write,How to delete your account,How do I uninstall AttendanceBot from Google Chat ?; How do I delete a leave applied by a member of my team?; How to cancel / retract / rescind / delete a leave request,No articles retrieved contain information on account deletion.,high,2.4
69bc49bb35059d3d8876e767_8079,I would like to cancel our accunt but can't find where to do that,BILLING,Account cancellation process,doc_update,How to cancel an account,How to cancel / retract / rescind / delete a leave request,The retrieved articles do not contain specific instructions on how to cancel an account.,high,2.4
69b9f98a7948efb15358ede9_63,what I mean is here in AttendanceBot,GENERAL,AttendanceBot assistance,doc_update,How do I learn more about the product?,How do I learn more about the product?; How do I install AttendanceBot in Slack?; I don't use Slack or Microsoft Teams. Can I still use AttendanceBot?,The articles do not provide specific guidance on how to get help with AttendanceBot inquiries.,high,4.0
69b9f98a7948efb15358ede9_1400,"is there other way, like punching in in a separate channel?",TIMESHEET,punching in via channel,doc_update,How to edit or delete punch in and out times,How to edit or delete punch in and out times; What can a manager do in AttendanceBot?; How to set up punch in/out reminders,The articles do not specifically address the possibility of punching in via a separate channel.,high,2.6
69b970fcf6eeb1331e96944f_7127,I failed to approve a leave request. Can I add it manually,LEAVE,Manual leave request addition,doc_update,How to change or edit an existing approved leave,How to change or edit an existing approved leave; How to cancel / retract / rescind / delete a leave request,The articles do not provide specific guidance on manually adding a leave request that was not approved initially.,high,2.8
69b114ae95368ad7d792a016_6831,How do I set the timer for out?,SETUP,Setting timer for punch-out,doc_update,How to set up punch in/out reminders,How to set up punch in/out reminders,The articles do not provide specific instructions on how to set the timer for punch-out.,high,3.6
69b0f0cb8ab334c34adf1b7f_6066,"Hello,
I hope you are doing well :)

I am reaching out to propose a link exchange collaboration between your site and our site. Given our overlapping audiences, I believe a partnership would mutually benefit our SEO and online presence.

Please let me know if you are open to discussing the details further.

Best regards,

",GENERAL,link exchange collaboration,doc_write,Link Exchange Collaboration Guidelines,,No articles address link exchange collaborations or provide contact methods for such inquiries.,high,2.8
69b07e571da7dca62d2e4fa0_2564,need to giver permission to staff to change time,TIMESHEET,staff permission to change time,doc_update,How to approve the timesheets of my reportees,How to approve the timesheets of my reportees,The articles do not provide specific steps for granting permission to change time.,high,2.8
69b031d1fd3d82a2b9153aa9_8370,I am having trouble updating Nemo Swift's time sheet on the backend.  He forgot to clock out and I am trying to adjust it but it just times out and gives me a 'Server Error',TIMESHEET,Updating timesheet errors,doc_update,How to edit or delete punch in and out times,How to edit or delete punch in and out times; How do I unlock the timesheet that's approved?,The articles do not provide troubleshooting steps for server errors or timeout issues.,high,4.0
69a9d9a2e1f889c28189a203_1225,how to make it where the employee can see the site they are working,GENERAL,employee site visibility,doc_update,How to view my shifts and the shifts of my employees,How to view my shifts and the shifts of my employees; How do I find my missing employee profile on the dashboard? (Slack),The articles mention shift viewing but do not specifically address how employees can see the site they are working on.,medium,2.6
69a0ee02fa2b538cd0e3aaa3_2560,"hi, is that possible to ask for refund of 2026's payment and pay by another card? ",BILLING,refund process and payment method,doc_update,Refund Policy and Payment Method Changes,How do I change my credit card details?; Billing - how do I download past invoices or receipts?; Billing - how does adding or removing users affect my billing?,The articles do not provide specific guidance on how to request a refund for future payments or change payment methods.,high,3.8
699f29319eaf8931662373c9_5387,My password is showing undefined ,GENERAL,password showing undefined,doc_write,How to troubleshoot password issues,How do I change my credit card details?; How do I find my missing employee profile on the dashboard? (Slack); How do I unlock the timesheet that's approved?,No relevant articles retrieved that address the issue of passwords showing as undefined.,high,3.2
699cdf64d5f234c4135227ef_6790,how can i view all upcoming leaves,LEAVE,Viewing upcoming leaves,doc_update,How to view overlapping leaves as an approving manager,How to view overlapping leaves as an approving manager; Checking Your Leave Balance,The article does not provide a method to view all upcoming leaves.,high,2.4
699c3140cce2d6ab960dad0f_418,I'd like AttendanceBot to send slack channel notification when Leave Request is approved by manager.,NOTIFICATIONS,Slack channel notifications for leave approval,doc_update,How leave approval works in Slack,How leave approval works in Slack; What can a manager do in AttendanceBot?,Lack of information on configuring Slack notifications for leave approvals,high,3.2
699c3140cce2d6ab960dad0f_418,I'd like AttendanceBot to send slack channel notification when Leave Request is approved by manager.,NOTIFICATIONS,Slack channel notifications for leave approval,doc_update,How leave approval works in Slack,How leave approval works in Slack; What can a manager do in AttendanceBot?,Lacks specific instructions for setting up Slack notifications for leave request approvals,high,3.2
699bd32bee804baaf5651245_7784,end me your mail,GENERAL,support email information,doc_write,How to contact support via email,,The specific email address for support is missing from the retrieved articles.,high,3.6
69997ef8ee804baaf55d11d1_6834,Where I get my registration number ,GENERAL,registration number inquiry,doc_write,How to find your registration number,Billing - how do I download past invoices or receipts?; How do I change my credit card details?; How can I generate reports?,No articles retrieved contained information about obtaining a registration number.,high,2.4
6997eff900b7ee544bf7d57f_7913,want your email for guest posting,GENERAL,guest posting email request,doc_write,Guest Posting Guidelines,,No information on guest posting opportunities or contact email available in the knowledge base.,high,2.4
699625ada92ff4779ec8548a_7119,how do i add my vacation to the calendar?,LEAVE,Adding vacation to calendar,doc_update,How to use and configure the AttendanceBot vacation calendar,How to use and configure the AttendanceBot vacation calendar,The articles do not provide specific actionable steps for adding a vacation to the calendar.,high,3.8
699625ada92ff4779ec8548a_8102,annual leave,LEAVE,Applying for annual leave,doc_write,How to apply for annual leave,How to setup accrual rules and leave quotas based on company policy; What are the different kinds of leaves?,The answer focused on setting up annual leave instead of the application process.,high,3.8
699625ada92ff4779ec8548a_2567,schedule pto FROM 20TH JUNE TO 27TH JUNE,LEAVE,PTO scheduling process,doc_update,How to apply for recurring leave or hybrid status,How to create employee specific work schedules?; How to apply for recurring leave or hybrid status,Lacks specific steps for initiating PTO request and confirmation process,high,3.8
6994a5c400b7ee544be90da3_8002,please confirm my meeting time??,GENERAL,Meeting confirmation process,doc_write,How to confirm meeting times,How to edit or delete punch in and out times; How to manage AttendanceBot timezone for Slack employees; How to track time in Slack using AttendanceBot,No articles retrieved that specifically address meeting confirmation.,high,3.0
699152d036fcfc1d2cf488ae_5517,I need to know if I can turn on IP restriction to stop certain employees from clocking out from non-company IP addresses. My settings menu is missing it. Appreciate your help. - Daniel,SETUP,IP restriction settings,doc_update,How to set up IP restrictions in AttendanceBot,How to set up auto-punch out for my employees; What can a manager do in AttendanceBot?,"The articles retrieved do not address IP restriction settings specifically, leading to a lack of actionable information.",high,2.8
698d8cc65555cf7c4b6283ed_3401,email address for guest posts,GENERAL,guest posts email address,doc_write,Guest Post Submission Guidelines,,No articles retrieved contained information about guest post email addresses.,high,2.4
698d81c45555cf7c4b623d32_2144,do you have integration with Xero?,INTEGRATIONS,Xero integration details,doc_write,How to integrate with Xero,How to integrate calendars; How to send hours to Gusto for payroll; How to integrate your calendar with AttendanceBot for Slack,No articles retrieved contain information about Xero integration,high,2.8
698cac1990dd4a828cd8b693_5342,thanks. Can I only enable reminders for some people?,NOTIFICATIONS,Enabling reminders for individuals,doc_update,How to set up punch in/out reminders,How to set up punch in/out reminders; How to configure calendar permissions,The articles do not explicitly state that reminders cannot be set for specific individuals.,high,4.2
698cac1990dd4a828cd8b693_7431,"Hi! How can I enable reminders for selected people? I can only see the ""everyone"" option",NOTIFICATIONS,Enabling reminders for individuals,doc_update,How to set up punch in/out reminders,How to set up punch in/out reminders; How to configure calendar permissions,The articles do not provide specific instructions on enabling reminders for selected individuals.,high,2.4
698ca6aa90dd4a828cd87d2b_3362,"No, I'm the office manager and I've already approved PTO but people didnt get paid... ",LEAVE,PTO payment issues,doc_update,How to approve the timesheets of my reportees,How to approve the timesheets of my reportees; How do I unlock the timesheet that's approved?,The articles do not address the issue of PTO payment processing after approval.,high,3.4
698b683e11c1c8f399a8f7a7_6752,"Hi, I am the admin for our account; but I can't login. I get this error: Unauthorized access. You are not allowed to access this URL. ",GENERAL,Unauthorized access error,doc_update,How to change account admin,How to change account admin,The articles do not address the specific unauthorized access error or provide troubleshooting steps.,high,3.4
6984be791e920a0f1651a870_3899,How does setting pTO limits work on the back end for managers?,LEAVE,PTO limits for managers,doc_update,How to configure overtime and time off in lieu (TOIL) rules?,How to configure overtime and time off in lieu (TOIL) rules?; How to configure and use time-off-in-lieu (TOIL) (Slack),The articles mention TOIL but do not specifically address PTO limits for managers.,high,2.6
698428bd234e34111ac11c35_7319,cancel subscription,BILLING,Cancel subscription process,doc_write,How to cancel your subscription,How do I change my credit card details?; How do I uninstall AttendanceBot from Google Chat ?; Billing - how does adding or removing users affect my billing?,No articles retrieved contained information on how to cancel a subscription.,high,2.6
6983f522234e34111abfb0d1_2129,Please cancell billing,BILLING,Canceling billing process,doc_update,Billing - how to cancel billing,Billing - how does adding or removing users affect my billing?; Billing - how do I download past invoices or receipts?,The retrieved articles do not provide specific instructions for canceling billing.,high,3.2
6983f303234e34111abf9eab_4468,Cancel subscription ,BILLING,Cancel subscription process,doc_write,How to cancel your subscription,How do I change my credit card details?; How do I uninstall AttendanceBot from Google Chat?; How to uninstall AttendanceBot from Slack,No articles retrieved contained information on how to cancel a subscription.,high,2.6
6983e374234e34111abf1fbf_2811,I need to cancel my subscription,BILLING,Cancel subscription process,doc_update,How to cancel / retract / rescind / delete a leave request,How to cancel / retract / rescind / delete a leave request,The article does not provide specific instructions on how to cancel a subscription.,high,3.4
69837c1aa8efb646ca3be28c_4039,why cant I adjust the amount of sick time?,LEAVE,Adjusting sick time policies,doc_update,How to setup accrual rules and leave quotas based on company policy,How to setup accrual rules and leave quotas based on company policy,The articles do not provide specific steps or conditions for adjusting sick time.,high,4.2
69827ded3e7c490a8b3c2876_4281,How to cancel subscription,BILLING,Cancel subscription process,doc_update,How to cancel / retract / rescind / delete a leave request,How do I change my credit card details?; How to cancel / retract / rescind / delete a leave request,Specific instructions on how to cancel a subscription are missing from the retrieved documents.,high,2.8
69827ded3e7c490a8b3c2876_9939,I would like to cancel our subscription,BILLING,Cancel subscription process,doc_update,How to cancel / retract / rescind / delete a leave request,How to cancel / retract / rescind / delete a leave request,The retrieved articles mention cancellation but do not provide the specific process for canceling a subscription.,high,2.4
6981f3d54480a1239c5fb344_7946,"Hello, how I can add VAT and other data to the invoice?",BILLING,Adding VAT to invoice,doc_update,Billing - how do I download past invoices or receipts?,Billing - how do I download past invoices or receipts?; Billing - how does adding or removing users affect my billing?,The articles retrieved do not specifically address how to add VAT to an invoice.,high,2.4
69814b0a4480a1239c5daf8b_9138,can i use vpn?,GENERAL,VPN usage with AttendanceBot,doc_write,VPN Usage with AttendanceBot,I don't use Slack or Microsoft Teams. Can I still use AttendanceBot?,No articles retrieved contained information about VPN usage.,high,3.0
697ff53002cef53e47edaee7_7911,Please cancel my subscription,BILLING,Cancel subscription process,doc_update,How to cancel / retract / rescind / delete a leave request,How to cancel / retract / rescind / delete a leave request,The article does not provide specific instructions for canceling a subscription.,high,3.4
697fc81653d0167dd04f471f_2999,how to change billing rates in a free account,BILLING,changing billing rates free account,doc_update,Billing - how does adding or removing users affect my billing?,Billing - how does adding or removing users affect my billing?; How AttendanceBot calculates billing amount for billable clients,The articles do not specifically address how to change billing rates in a free account.,high,2.6
697ea4167607a7176d35f983_8881,"Hi, I am trying to delete upcoming shifts due to a schedule change, and the request just spins and never resolves. When I refresh the page the shift is still there.  I've restarted my pc and browser, no help there. ",TIMESHEET,Deleting upcoming shifts,doc_update,"How to cancel, re-assign, or swap shifts as an employee","How to cancel, re-assign, or swap shifts as an employee",The article does not provide specific steps for resolving technical issues related to deleting shifts.,high,3.2
697dd3ec53d0167dd044fccf_9955,how to edit one employee time zoen ,SETUP,Editing employee time zone,doc_update,How to edit or delete punch in and out times,How to edit or delete punch in and out times; What can a manager do in AttendanceBot?,The articles mention editing times but do not specifically address how to edit an employee's time zone.,high,2.6
697caa55110a34f4459f64d1_7319,cancel subscription,BILLING,cancel subscription process,doc_write,How to cancel your subscription,How do I change my credit card details?; How do I uninstall AttendanceBot from Google Chat ?; Billing - how does adding or removing users affect my billing?,No articles retrieved contained information on how to cancel a subscription.,high,2.6
697a7fff6d7cdacd07f28786_8452,Attendancebot is being weird again. Plz fix,GENERAL,AttendanceBot issues,doc_update,I'm getting an error message 'You are viewing the archives of a deactivated account' while accessing AttendanceBot in Slack. What should I do?,I'm getting an error message 'You are viewing the archives of a deactivated account' while accessing AttendanceBot in Slack. What should I do?; AttendanceBot Plans and Features; How do I add admin users?,The retrieved articles mention a specific error but do not provide troubleshooting steps or context for the user's vague issue.,high,2.6
697835ee2d5572552d25d316_4825,• ‘ticket’ : 이메일을 통한 담당자(사람) 지원을 받기,GENERAL,email support ticket process,doc_update,How can I get help from AttendanceBot support?,How can I get help from AttendanceBot support?; Ticket Response Time,The articles do not provide specific instructions on how to open a ticket via email.,high,2.8
69779ec72d5572552d23cd28_6882,if we only have one hourly empoyee can we use it for free,BILLING,AttendanceBot free usage,doc_update,How to use AttendanceBot to calculate employee wage?,How to configure overtime and time off in lieu (TOIL) rules?; How to use AttendanceBot to calculate employee wage?; Work Model - Hybrid or Fully Remote,The articles do not specifically address the pricing structure for using AttendanceBot with one hourly employee.,high,3.4
697704e17d0635d7748f38f0_3177,I want a refund.,BILLING,Refund processing information,doc_write,How to process refunds,Billing - how do I download past invoices or receipts?; How do I change my credit card details?,No articles retrieved related to refund processing,high,3.4
697704e17d0635d7748f38f0_7223,Cancel my account,GENERAL,Account cancellation process,doc_update,How to deactivate a user in AttendanceBot,How to deactivate a user in AttendanceBot,Specific instructions on how to cancel an account are missing from the retrieved documents.,high,2.8
697704e17d0635d7748f38f0_4521,I just completed the payment and would like to request a refund.,BILLING,refund request process,doc_update,Refund Request Process,Billing - how do I download past invoices or receipts?; How to cancel / retract / rescind / delete a leave request; How do I change my credit card details?,The articles do not provide specific instructions on how to request a refund.,high,3.2
697704e17d0635d7748f38f0_360,"I just made a payment and would like to request a refund.
Please assist. Thank you.",BILLING,refund request process,doc_update,Refund Request Process,Billing - how do I download past invoices or receipts?; How to cancel / retract / rescind / delete a leave request; How do I change my credit card details?,The articles do not provide specific instructions on how to request a refund.,high,2.4
697350049649f60003711899_1385,Where can I see attendancebot code,GENERAL,AttendanceBot code access,doc_update,How do I learn more about the product?,How do I learn more about the product?,The articles do not provide specific information on where to find AttendanceBot's code.,high,3.2
6972662695d84cb58a239c3d_4006,is it possible to integrate it in dicord?,INTEGRATIONS,Discord integration guidance,doc_update,How to integrate AttendanceBot with Discord,Adding New Users to Hangouts/Google Chat; How to integrate calendars; How to integrate Jira with AttendanceBot,The retrieved articles do not provide specific guidance on integrating AttendanceBot with Discord.,high,2.6
696fb622e944e0e2ad1ecd33_1506,The reports are not too friendly. Is there a way for us to customize a report?,REPORTS,Customizing report options,doc_update,How to generate a report with specific filters,How to generate a report with specific filters; How can I generate reports?; How to schedule reports,The articles do not provide specific customization options for reports beyond filters and scheduling.,high,3.6
696d66db7f64db07c0948221_7753,how to calculate pay rate in sick days,LEAVE,Calculating pay rate for sick days,doc_write,How to calculate pay rate for sick days,How to setup accrual rules and leave quotas based on company policy,No relevant articles retrieved that address the calculation of pay rates for sick days.,high,2.6
696d59b77f64db07c0945af3_8367,can you schedule automatic breaks,SETUP,automatic breaks scheduling,doc_update,How to set up auto-punch out for my employees,How do I apply for lunch or break with AttendanceBot in Slack?; How to set up auto-punch out for my employees?; How to setup lunch hours for your team?,The articles mention related topics but do not provide specific instructions on scheduling automatic breaks.,high,3.8
696bcccd7f64db07c08f00ad_937,timesheet report 1/1/26-1/11/26,REPORTS,timesheet report generation,doc_update,How do I get the summary or report of my time in office?,How do I get the summary or report of my time in office?; What are my reporting options and what do the different reports do?,Lacks detail on selecting employee filter and command format,high,4.2
696bcccd7f64db07c08f00ad_6486,i am an admin and need this for each employee,GENERAL,Employee information request,doc_update,How do I assign managers for my employees?,How do I add admin users?; What are the different roles?; How do I assign managers for my employees?,The articles do not provide specific information for each employee as requested by the user.,high,2.8
696a478a7f64db07c0885bfc_7252,ATTENDANCE BOT NOT WORKING AS IT SHOULD/AS NORMAL. HOMEPAGE OF ATTENDANCE BOT NOT LOADING,GENERAL,Attendance Bot homepage loading issue,doc_update,Troubleshooting Attendance Bot homepage loading issues,"I'm getting an error message ""You are viewing the archives of a deactivated account"" while accessing AttendanceBot in Slack. What should I do?",The articles retrieved do not address homepage loading issues or provide troubleshooting steps.,high,3.4
69691f595dc0162d1edab6c0_2461,"I want an API for Person Unavailable
 PTO. Basically, you already have a calendar that shows when people are on PTO but we have this published on on a shared calendar in 365. So I want the API so I can have this pull and add to 365 calendar. ",INTEGRATIONS,API for PTO calendar integration,doc_update,How to integrate calendars,How to use and configure the AttendanceBot vacation calendar; How to integrate calendars; How to configure calendar permissions,The articles do not provide specific API details for integrating PTO with a shared calendar.,high,2.8
6967b5dd75e3100c66af0252_9456,Please help cancel the account.,GENERAL,Account cancellation process,doc_update,How to cancel / retract / rescind / delete a leave request,How to cancel / retract / rescind / delete a leave request; How do I uninstall AttendanceBot from Google Chat ?,The articles retrieved do not provide specific instructions for canceling an account.,high,3.2
69676dad6e764d79bf1c2b00_7471,how do I cancel my subscription?,BILLING,Cancel subscription process,doc_update,How to cancel / retract / rescind / delete a leave request,How to cancel / retract / rescind / delete a leave request,The article does not provide specific instructions on how to cancel a subscription.,high,2.6
6966ad7fb14f5c52213221a7_2013,I'm a admin how do I remove myself from a schedule,MANAGER,Removing admin from schedule,doc_update,"How to cancel, re-assign, or swap shifts as an employee","How do I add admin users?; How do I delete a leave applied by a member of my team?; How to cancel, re-assign, or swap shifts as an employee",The articles mention shift management but do not provide specific steps for an admin to remove themselves from a schedule.,high,2.8
6966592999e706572bf041fa_3947,I have an employee McKenna Miller who cannot submit any PTO in the bot. She can punch in and out just can't put PTO or Makeup time in. Can you help?,LEAVE,PTO submission issue,doc_update,How to submit PTO in AttendanceBot,What can a manager do in AttendanceBot?; How to edit or delete punch in and out times,The articles retrieved do not specifically address the process for submitting PTO or Makeup time.,high,3.6
696523036e764d79bf11e523_4468,Cancel subscription ,BILLING,Cancel subscription process,doc_write,How to cancel your subscription,How do I change my credit card details?; How do I uninstall AttendanceBot from Google Chat?; How to uninstall AttendanceBot from Slack,No articles retrieved contained information on how to cancel a subscription.,high,3.4
6961612a46c27cd2396e32f3_1308,i need this from the bot within teams,GENERAL,AttendanceBot usage in Teams,doc_update,How can I get help from AttendanceBot support?,How can I get help from AttendanceBot support?; AttendanceBot Plans and Features; How do I invite new users on my team to start using AttendanceBot?,The articles do not provide specific actionable steps for using AttendanceBot within Teams.,high,3.2
695fd6a74d0cfacdf09f9c1b_1630,How do I cancel,LEAVE,Canceling leave request,doc_update,How to cancel / retract / rescind / delete a leave request,"How to cancel / retract / rescind / delete a leave request; How to cancel, re-assign, or swap shifts as an employee",The articles provide general information but lack specific step-by-step instructions for canceling a leave request.,high,4.4
695f296d4fa7ec5890a8747a_9822,demo for signup ,SETUP,signup demo instructions,doc_update,Getting Started,Getting Started; How long is my AttendanceBot trial?; How to use Slack onboarding functionality,Specific signup demo instructions are missing from the retrieved articles.,high,3.4
